LCA Material ID,LCA Material Name,Stage,Oekobaudat Link,LCA massValue,Oekobaudat massValue,massValue Difference,massValue Difference Percentage,LCA GWP,Oekobaudat GWP,GWP Difference,GWP Difference Percentage,LCA ODP,Oekobaudat ODP,ODP Difference,ODP Difference Percentage,LCA POCP,Oekobaudat POCP,POCP Difference,POCP Difference Percentage,LCA AP,Oekobaudat AP,AP Difference,AP Difference Percentage,LCA EP,Oekobaudat EP,EP Difference,EP Difference Percentage,LCA ADPE,Oekobaudat ADPE,ADPE Difference,ADPE Difference Percentage,LCA ADPF,Oekobaudat ADPF,ADPF Difference,ADPF Difference Percentage,LCA PERT,Oekobaudat PERT,PERT Difference,PERT Difference Percentage,LCA PENRT,Oekobaudat PENRT,PENRT Difference,PENRT Difference Percentage,LCA RSF,Oekobaudat RSF,RSF Difference,RSF Difference Percentage,LCA NRSF,Oekobaudat NRSF,NRSF Difference,NRSF Difference Percentage
f281ecaf-5754-4d27-8d70-cfd18780b192,"Teflon - membran , polytetrafluoroethylen ( PTFE )",C3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=f281ecaf-5754-4d27-8d70-cfd18780b192,1.0,2200.0,2199.0,219900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
f281ecaf-5754-4d27-8d70-cfd18780b192,"Teflon - membran , polytetrafluoroethylen ( PTFE )",D,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=f281ecaf-5754-4d27-8d70-cfd18780b192,1.0,2200.0,2199.0,219900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
31a96d5c-66a3-4de1-a957-6aa4f8f4e53d,"Tætningsliste , EPDB , ekstruderet",A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=31a96d5c-66a3-4de1-a957-6aa4f8f4e53d,1.0,400.0,399.0,39900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
31a96d5c-66a3-4de1-a957-6aa4f8f4e53d,"Tætningsliste , EPDB , ekstruderet",C3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=31a96d5c-66a3-4de1-a957-6aa4f8f4e53d,1.0,400.0,399.0,39900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
31a96d5c-66a3-4de1-a957-6aa4f8f4e53d,"Tætningsliste , EPDB , ekstruderet",D,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=31a96d5c-66a3-4de1-a957-6aa4f8f4e53d,1.0,400.0,399.0,39900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
08bdbef6-9134-422f-8504-00eeee75d31f,Urea formaldehyd skum isolering,A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=08bdbef6-9134-422f-8504-00eeee75d31f,1.0,10.0,9.0,900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
08bdbef6-9134-422f-8504-00eeee75d31f,Urea formaldehyd skum isolering,C3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=08bdbef6-9134-422f-8504-00eeee75d31f,1.0,10.0,9.0,900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
08bdbef6-9134-422f-8504-00eeee75d31f,Urea formaldehyd skum isolering,D,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=08bdbef6-9134-422f-8504-00eeee75d31f,1.0,10.0,9.0,900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
fbb56e56-29d6-408e-8941-fc37ed48fb11,"Varmepumpe , jordvarmesonde , 70 Kw",C4,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=fbb56e56-29d6-408e-8941-fc37ed48fb11,4854.66,4855.0,0.3400000000001455,0.00700358006534228%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,195140.0,195139.68927672,-0.31072328001027927,-0.00015923095214219498%,X,X,X,X,200738.0,200738.408747322,0.40874732201336883,0.00020362229473909712%,X,X,X,X,X,X,X,X
5cc8769c-da1b-4967-bb4d-c8fe7b4c359d,Vegetationssubstrat,A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5cc8769c-da1b-4967-bb4d-c8fe7b4c359d,1.0,1400.0,1399.0,139900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5cc8769c-da1b-4967-bb4d-c8fe7b4c359d,Vegetationssubstrat,C3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5cc8769c-da1b-4967-bb4d-c8fe7b4c359d,1.0,1400.0,1399.0,139900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5cc8769c-da1b-4967-bb4d-c8fe7b4c359d,Vegetationssubstrat,D,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=5cc8769c-da1b-4967-bb4d-c8fe7b4c359d,1.0,1400.0,1399.0,139900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
